ID_INTERNO,IDENTIFICACION,NOMBRE,APELLIDO,CORREO,TELEFONO,DIRECCION,VIGENCIA,TIPO_HECHO,GENERO,ESTADO_CIVIL,NACIONALIDAD,DEPA_PRO_COLEGIO,CIUDAD_PRO_COLEGIO,DEPA_RESI,CIUDAD_RESI,MODALIDAD,METODOLOGIA,JORNADA,FACULTAD,PROGRAMA,SEMESTRE,SEDE,CONDICION_ESTUDIANTE,COLEGIO,NATURALEZA_COLEGIO,RAZA,DISCAPACIDAD,EPS,ESTRATO,METODO DE PAGO,ESTADO DE CURSO
162,1020291306,Sara,Morales Montoya,sara.morales162@uqvirtual.edu.co,3189765154,"Calle 27 # 2 - 76, Pasto",2019-2,Inscrito,Mujer,Soltero,Colombiano,Nariño,Pasto,Nariño,Pasto,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,9,Armenia,Sin info,I.E.M. MARIA GORETTI,Oficial,Mestiza,NO APLICA,SANITAS EPS,2,Icetex,Abandonado
163,1043680211,Diana,Zuluaga Ocampo,diana.zuluaga163@uqvirtual.edu.co,3195263717,"Calle 17 # 30 - 40, Guachucal",2019-2,Inscrito,Mujer,Soltero,Colombiano,Nariño,Guachucal,Nariño,Guachucal,Pregrado,Presencial,Diurna,Fac. Ciencias Basicas y Tecnologias,Biologia,3,Armenia,Sin info,INSTITUCION EDUCATIVA GENARO LEON,Oficial,Mestiza,NO APLICA,ASMETSALUD,1,De contado,Cursando
164,1031245923,Esteban,Espinoza Trujillo,esteban.espinoza164@uqvirtual.edu.co,3169422202,"Calle 6 # 22 - 33, Mercaderes",2019-2,Inscrito,Hombre,Soltero,Colombiano,Cauca,Mercaderes,Cauca,Mercaderes,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingenieria Civil,5,Armenia,Sin info,I.E. JUAN XXIII,Oficial,Mestiza,NO APLICA,SERVICIOOCCIDENTALDESALUD,1,De contado,Abandonado
165,1012599645,Claudia,Ruiz Ibarra,claudia.ruiz165@uqvirtual.edu.co,3137129973,"Calle 39 # 16 - 9, Tunja",2019-2,Inscrito,Mujer,Union Libre,Colombiano,Boyacá,Tunja,Boyacá,Tunja,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,2,Armenia,Sin info,ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON,Oficial,Blanca,NO APLICA,OTRO,3,Credito propio,Abandonado
166,1049264934,Johanna,Aguirre Castrillón,johanna.aguirre166@uqvirtual.edu.co,3115961418,"Calle 6 # 11 - 50, Armenia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Meta,Villavicencio,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. Ciencias Humanas y Bellas Artes,Trabajo Social,10,Armenia,Sin info,COL GENERAL CARLOS ALBAN,Oficial,Mestiza,NO APLICA,MINISTERIO DE DEFENSA - POLICÍA NACIONAL,2,Credito propio,Finalizado
167,1098698886,Esteban,Bedoa Palacio,esteban.bedoa167@uqvirtual.edu.co,3139954567,"Calle 3 # 21 - 10, Manizales",2019-2,Inscrito,Hombre,Casado,Colombiano,Caldas,Manizales,Caldas,Manizales,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,10,Manizales,Sin info,INSTITUCIÓN EDUCATIVA SAN JUAN BAUTISTA DE LA SALLE,Oficial,Blanca,NO APLICA,SALUD TOTAL EPS,2,Icetex,Finalizado
168,1029294497,Liliana,Gutiérrez Zuluaga,liliana.gutiérrez168@uqvirtual.edu.co,3149527218,"Calle 8 # 12 - 100, Quimbaya",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Quimbaya,Quindío,Quimbaya,Pregrado,Presencial,Diurna,Fac. Ciencias de la Salud,Gerontologia,3,Armenia,Sin info,INST QUIMBAYA,Oficial,Mestiza,NO APLICA,SISBEN,1,Credito propio,Cursando
169,1086745798,Carlos,Mejía Acevedo,carlos.mejía169@uqvirtual.edu.co,3134339881,"Calle 4 # 14 - 25, Santiago De Cali",2019-2,Inscrito,Hombre,Soltero,Colombiano,Cauca,Santander De Quilichao,Valle Del Cauca,Santiago De Cali,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,4,Cali,Sin info,INSTITUCION EDUCATIVA INSTITUTO TECNICO DE SANTANDER DE QUILICHAO,Oficial,Blanca,NO APLICA,NUEVA EPS,2,Credito propio,Cursando
170,1057569431,Camila,Ibarra Toro,camila.ibarra170@uqvirtual.edu.co,3211868463,"Calle 24 # 30 - 48, Ibague",2019-2,Inscrito,Mujer,Soltero,Colombiano,Cundinamarca,Bogotá D.C.,Tolima,Ibague,Pregrado,Presencial,Nocturna,Fac. Ingenieria,Ing. de Sistemas y Computacion,10,Armenia,Sin info,COLEGIO CEDID SAN PABLO (IED),Oficial,Blanca,BAJA VISIÓN DIAGNOSTICADA,SANITAS EPS,2,De contado,Finalizado
171,1050542544,Hugo,Mendoza Velásquez,hugo.mendoza171@uqvirtual.edu.co,3184291462,"Calle 21 # 13 - 44, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Administracion Negocios Presencial,5,Armenia,Sin info,CASD HERMOGENES MAZA,Oficial,Blanca,NO APLICA,ASMETSALUD,1,De contado,Abandonado
172,1078938311,Daniela,Castrillón Sierra,daniela.castrillón172@uqvirtual.edu.co,3131863293,"Calle 6 # 1 - 14, Tulua",2019-2,Inscrito,Mujer,Casado,Colombiano,Valle Del Cauca,Tulua,Valle Del Cauca,Tulua,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,10,Buga,Sin info,INSTITUCION EDUCATIVA JOVITA SANTA COLOMA,Oficial,Negra,NO APLICA,SANITAS EPS,2,Icetex,Finalizado
173,1050097422,Johanna,Cortés Rivera,johanna.cortés173@uqvirtual.edu.co,3191970339,"Calle 7 # 10 - 12, Armenia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Nariño,Pasto,Quindío,Armenia,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,7,Armenia,Sin info,COL INSUCA,Privada,Mestiza,NO APLICA,MINISTERIO DE DEFENSA - POLICÍA NACIONAL,2,Credito propio,Abandonado
174,1042806583,Sandra,Ochoa Rodríguez,sandra.ochoa174@uqvirtual.edu.co,3128379088,"Calle 50 # 5 - 22, Montenegro",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Armenia,Quindío,Montenegro,Pregrado,Presencial,Diurna,Fac. Ciencias Humanas y Bellas Artes,Trabajo Social,7,Armenia,Sin info,RUFINO JOSE CUERVO SUR,Oficial,Mestiza,NO APLICA,SALUDCOOP EPS,1,Icetex,Cursando
175,1078766903,Elizabeth,Valencia Quintero,elizabeth.valencia175@uqvirtual.edu.co,3172689945,"Calle 37 # 27 - 71, Pereira",2019-2,Inscrito,Mujer,Casado,Colombiano,Risaralda,Pereira,Risaralda,Pereira,Pregrado,Distancia,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Admon. Financiera,8,Pereira,Sin info,COL ANGLO COLOMBIANO,Privada,Mestiza,NO APLICA,SANITAS EPS,3,Icetex,Cursando
176,1042152982,Nicolás,Álvarez Naranjo,nicolás.álvarez176@uqvirtual.edu.co,3184582751,"Calle 11 # 12 - 43, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. Ciencias Humanas y Bellas Artes,Comunicacion Social-Periodismo,10,Armenia,Sin info,COLEGIO COMFENALCO,Privada,Mestiza,NO APLICA,OTRO,3,Credito propio,Finalizado
177,1044725563,Gabriela,Zapata Chica,gabriela.zapata177@uqvirtual.edu.co,3128997195,"Calle 13 # 19 - 27, Armenia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. Ciencias Humanas y Bellas Artes,Trabajo Social,2,Armenia,Sin info,TERESITA MONTES,Oficial,Mestiza,NO APLICA,NUEVA EPS,2,De contado,Cursando
178,1023645911,Iván,Díaz Bermúdez,iván.díaz178@uqvirtual.edu.co,3222453826,"Calle 38 # 30 - 88, Armenia",2019-2,Inscrito,Hombre,Casado,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Nocturna,Fac. Ciencias Basicas y Tecnologias,Tec. en instrumentacion electronica,8,Armenia,Sin info,INEM JOSE CELESTINO MUTIS,Oficial,Mestiza,NO APLICA,SURA,2,Icetex,Abandonado
179,1036933826,Wilson,Gallego Ruiz,wilson.gallego179@uqvirtual.edu.co,3184850808,"Calle 38 # 9 - 48, Timbio",2019-2,Inscrito,Hombre,Soltero,Colombiano,Cauca,Popayan,Cauca,Timbio,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingenieria Civil,6,Armenia,Sin info,SEMINARIO MENOR ARQUIDIOCESANO,Privada,Mestiza,NO APLICA,SANITAS EPS,1,Icetex,Cursando
180,1042473982,Liliana,Sierra Chica,liliana.sierra180@uqvirtual.edu.co,3147524472,"Calle 20 # 25 - 80, Riosucio",2019-2,Inscrito,Mujer,Soltero,Colombiano,Caldas,Riosucio,Caldas,Riosucio,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingenieria Civil,9,Armenia,Sin info,INSTITUCION EDUCATIVA RIOSUCIO,Oficial,Mestiza,NO APLICA,NUEVA EPS,2,Credito propio,Abandonado
181,1031656462,Daniel,Salazar Zapata,daniel.salazar181@uqvirtual.edu.co,3123269614,"Calle 30 # 24 - 79, Calarca",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Calarca,Quindío,Calarca,Pregrado,Presencial,Diurna,Fac. Ciencias Basicas y Tecnologias,Biologia,10,Armenia,Sin info,RAFAEL URIBE URIBE,Oficial,Blanca,NO APLICA,DIRECCIÓN GENERAL DE SANIDAD MILITAR,2,Credito propio,Finalizado
182,1099769500,Tatiana,Martínez Arango,tatiana.martínez182@uqvirtual.edu.co,3204006871,"Calle 24 # 11 - 9, Armenia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. Ciencias Basicas y Tecnologias,Biologia,9,Armenia,Sin info,INEM JOSE CELESTINO MUTIS,Oficial,Mestiza,NO APLICA,SURA,2,Credito propio,Cursando
183,1094839971,Andrea,Toro Sánchez,andrea.toro183@uqvirtual.edu.co,3158773991,"Calle 43 # 29 - 82, Armenia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. Ciencias de la Salud,Gerontologia,5,Armenia,Sin info,CAMARA JUNIOR,Oficial,Mestiza,BAJA VISIÓN DIAGNOSTICADA,SURA,3,Icetex,Abandonado
184,1090005224,Marcela,Jaramillo Holguín,marcela.jaramillo184@uqvirtual.edu.co,3101819904,"Calle 19 # 12 - 98, Popayan",2019-2,Inscrito,Mujer,Soltero,Colombiano,Cauca,Popayan,Cauca,Popayan,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,10,Armenia,Sin info,SAN AGUSTIN,Oficial,Mestiza,NO APLICA,OTRO,1,De contado,Finalizado
185,1067335917,Daniel,Gómez Pérez,daniel.gómez185@uqvirtual.edu.co,3139732719,"Calle 1 # 30 - 88, Santiago De Cali",2019-2,Inscrito,Hombre,Union Libre,Colombiano,Valle Del Cauca,Santiago De Cali,Valle Del Cauca,Santiago De Cali,Pregrado,Distancia,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Admon. Financiera,10,Cali,Sin info,COLEGIO LITORAL PACIFICO,Privada,Sin info,Sin info,OTRO,2,Credito propio,Finalizado
186,1040036295,Sofía,Acosta Holguín,sofía.acosta186@uqvirtual.edu.co,3119197599,"Calle 28 # 4 - 7, Armenia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. de Educacion,Lic. en Lenguas Modernas con enfasis en Ingles y Frances,10,Armenia,Sin info,ESCUELA NORMAL SUPERIOR,Oficial,Mestiza,NO APLICA,SURA,1,Icetex,Finalizado
187,1095205569,Laura,Jiménez Castrillón,laura.jiménez187@uqvirtual.edu.co,3161890295,"Calle 30 # 14 - 60, Floridablanca",2019-2,Inscrito,Mujer,Soltero,Colombiano,Santander,Bucaramanga,Santander,Floridablanca,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,9,Armenia,Sin info,COL COOP DE BUCARAMANGA,Privada,Mestiza,NO APLICA,SALUD TOTAL EPS,1,Icetex,Cursando
188,1073584110,Carlos,Delgado Franco,carlos.delgado188@uqvirtual.edu.co,3172518469,"Calle 10 # 4 - 26, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Cundinamarca,Tena,Quindío,Armenia,Pregrado,Presencial,Nocturna,Fac. Ingenieria,Ing. de Sistemas y Computacion,10,Armenia,Sin info,INSTITUCION EDUCATIVA DEPARTAMENTAL BETULIA,Oficial,Blanca,BAJA VISIÓN DIAGNOSTICADA,SISBEN,2,Credito propio,Finalizado
189,1067065604,Sofía,Mejía Ocampo,sofía.mejía189@uqvirtual.edu.co,3118788814,"Calle 5 # 11 - 77, Filandia",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Filandia,Quindío,Filandia,Pregrado,Presencial,Nocturna,Fac. de Educacion,Lic. en Lenguas Modernas con enfasis en Ingles y Frances,6,Armenia,Sin info,FRANCISCO MIRANDA,Oficial,Mestiza,NO APLICA,MINISTERIO DE DEFENSA - POLICÍA NACIONAL,2,Credito propio,Cursando
190,1003589948,Diego,Escobar Orozco,diego.escobar190@uqvirtual.edu.co,3186642542,"Calle 49 # 29 - 34, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingenieria Civil,7,Armenia,Sin info,COLEGIO COMFENALCO,Privada,Blanca,NO APLICA,SURA,2,De contado,Abandonado
191,1058615767,Elena,Ortiz Quintero,elena.ortiz191@uqvirtual.edu.co,3209150717,"Calle 46 # 7 - 46, Calarca",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,Calarca,Quindío,Calarca,Pregrado,Presencial,Diurna,Fac. Ciencias Humanas y Bellas Artes,Comunicacion Social-Periodismo,9,Armenia,Sin info,ROMAN MARIA VALENCIA,Oficial,Mestiza,NO APLICA,CAFESALUD,2,De contado,Cursando
192,1081688419,Guillermo,Giraldo Gutiérrez,guillermo.giraldo192@uqvirtual.edu.co,3175561842,"Calle 39 # 4 - 69, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Risaralda,Pereira,Quindío,Armenia,Pregrado,Distancia,Diurna,Fac. Ingenieria,Tec. en Obras Civiles,10,Armenia,Sin info,INST TEC SUPERIOR PEREIRA,Oficial,Blanca,NO APLICA,SALUD TOTAL EPS,3,De contado,Finalizado
193,1018344111,Isabella,Castrillón Arango,isabella.castrillón193@uqvirtual.edu.co,3141997668,"Calle 2 # 16 - 75, Taminango",2019-2,Inscrito,Mujer,Soltero,Colombiano,Nariño,Taminango,Nariño,Taminango,Pregrado,Presencial,Diurna,Fac. Ciencias Basicas y Tecnologias,Biologia,10,Armenia,Sin info,INSTITUCION EDUCATIVA PABLO VI,Oficial,Mestiza,NO APLICA,EMMSANAR,1,De contado,Finalizado
194,1088787892,Mónica,Naranjo Ochoa,mónica.naranjo194@uqvirtual.edu.co,3199792038,"Calle 16 # 9 - 46, Bogotá D.C.",2019-2,Inscrito,Mujer,Soltero,Colombiano,Cundinamarca,Bogotá D.C.,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,10,Armenia,Sin info,LIC MANANTIAL DE VIDA ETERNA,Privada,Mestiza,NO APLICA,COMPENSAR EPS,3,Credito propio,Finalizado
195,1010985615,Elizabeth,Acevedo Trujillo,elizabeth.acevedo195@uqvirtual.edu.co,3127861155,"Calle 22 # 24 - 44, Pereira",2019-2,Inscrito,Mujer,Soltero,Colombiano,Cundinamarca,Bogotá D.C.,Risaralda,Pereira,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingeniera Electronica,10,Armenia,Sin info,COLEGIO INSTITUTO TECNICO DISTRITAL REPUBLICA DE GUATEMALA (IED),Oficial,Blanca,NO APLICA,CAPITALSALUD,1,De contado,Finalizado
196,1085630471,Camilo,Suárez Gómez,camilo.suárez196@uqvirtual.edu.co,3202023154,"Calle 19 # 30 - 59, Pereira",2019-2,Inscrito,Hombre,Soltero,Colombiano,Risaralda,Pereira,Risaralda,Pereira,Pregrado,Presencial,Nocturna,"Fac. Ciencias Economicas, adtivas y contables",Economia,10,Armenia,Sin info,IE INEM FELIPE PEREZ,Oficial,Mestiza,NO APLICA,ASMETSALUD,2,De contado,Finalizado
197,1038045576,Lucía,Álvarez Ríos,lucía.álvarez197@uqvirtual.edu.co,3103892254,"Calle 46 # 2 - 77, Bogotá D.C.",2019-2,Inscrito,Mujer,Union Libre,Colombiano,Córdoba,Sahagun,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,7,Armenia,Sin info,GIMNASIO NUEVO MILENIO,Privada,Blanca,NO APLICA,SANITAS EPS,3,Credito propio,Cursando
198,1045124924,Ricardo,Marín Bermúdez,ricardo.marín198@uqvirtual.edu.co,3227642300,"Calle 17 # 5 - 31, La Tebaida",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,La Tebaida,Quindío,La Tebaida,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingeniera Electronica,10,Armenia,Sin info,LUIS ARANGO CARDONA,Oficial,Blanca,NO APLICA,SERVICIOOCCIDENTALDESALUD,2,Credito propio,Finalizado
199,1043771827,Guillermo,Patiño Arias,guillermo.patiño199@uqvirtual.edu.co,3186321730,"Calle 11 # 13 - 33, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. de Educacion,Lic. en Lenguas Modernas con enfasis en Ingles y Frances,1,Armenia,Sin info,RUFINO JOSE CUERVO CENTRO,Oficial,Blanca,NO APLICA,SANITAS EPS,1,Credito propio,Abandonado
200,1000674176,Pablo,Vásquez Gómez,pablo.vásquez200@uqvirtual.edu.co,3171567467,"Calle 25 # 28 - 57, Manizales",2019-2,Inscrito,Hombre,Casado,Colombiano,Caldas,Manizales,Caldas,Manizales,Pregrado,Distancia,Diurna,Fac. Ingenieria,Tec. en Obras Civiles,2,Pereira,Sin info,CENTRO EDUCATIVO ASED,Privada,Mestiza,NO APLICA,SALUD TOTAL EPS,2,De contado,Cursando
201,1097486775,Pablo,Ochoa Gallego,pablo.ochoa201@uqvirtual.edu.co,3198450545,"Calle 19 # 6 - 23, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Nocturna,Fac. Ingenieria,Ing. de Sistemas y Computacion,3,Armenia,Sin info,EUDORO GRANADA,Oficial,Mestiza,NO APLICA,DIRECCIÓN GENERAL DE SANIDAD MILITAR,3,De contado,Abandonado
202,1030036324,Sergio,Osorio Valencia,sergio.osorio202@uqvirtual.edu.co,3195070358,"Calle 31 # 18 - 65, Guadalupe",2019-2,Inscrito,Hombre,Casado,Colombiano,Santander,San Gil,Antioquia,Guadalupe,Pregrado,Distancia,Diurna,Fac. Ingenieria,Tec. en Obras Civiles,10,Armenia,Sin info,INSTITUTO PAULO FREIRE,Privada,Mestiza,NO APLICA,SALUDCOOP EPS,1,Icetex,Finalizado
203,1097515164,Wilson,Chica Bermúdez,wilson.chica203@uqvirtual.edu.co,3134723859,"Calle 30 # 21 - 60, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Nocturna,"Fac. Ciencias Economicas, adtivas y contables",Contaduria Publica,1,Armenia,Sin info,LUIS CARLOS GALAN SARMIENTO,Oficial,Blanca,NO APLICA,SURA,3,Icetex,Cursando
204,1087175714,Paula,Uribe Torres,paula.uribe204@uqvirtual.edu.co,3139759807,"Calle 26 # 19 - 80, Bogotá D.C.",2019-2,Inscrito,Mujer,Casado,Colombiano,Boyacá,Chivor,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,4,Armenia,Sin info,ESC EL SINAI,Oficial,Mestiza,NO APLICA,SISBEN,2,Icetex,Abandonado
205,1036220142,Johanna,Giraldo Giraldo,johanna.giraldo205@uqvirtual.edu.co,3116384709,"Calle 21 # 5 - 23, Armenia",2019-2,Inscrito,Mujer,Casado,Colombiano,Caldas,Pensilvania,Quindío,Armenia,Pregrado,Presencial,Nocturna,"Fac. Ciencias Economicas, adtivas y contables",Contaduria Publica,5,Armenia,Sin info,INSTITUCION EDUCATIVA PENSILVANIA,Oficial,Mestiza,NO APLICA,MINISTERIO DE DEFENSA - POLICÍA NACIONAL,1,Icetex,Cursando
206,1037953894,Ximena,Santana Acosta,ximena.santana206@uqvirtual.edu.co,3161685153,"Calle 9 # 15 - 46, La Virginia",2019-2,Inscrito,Mujer,Union Libre,Colombiano,Risaralda,Pereira,Risaralda,La Virginia,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,8,Pereira,Sin info,IE GABRIEL TRUJILLO,Oficial,Mestiza,NO APLICA,COOMEVA EPS,2,De contado,Abandonado
207,1093106709,Cristian,Hincapié Muñoz,cristian.hincapié207@uqvirtual.edu.co,3202961937,"Calle 37 # 11 - 36, Tunja",2019-2,Inscrito,Hombre,Union Libre,Colombiano,Atlántico,Barranquilla,Boyacá,Tunja,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,10,Armenia,Sin info,COLEGIO SAN ALBERTO MAGNO,Privada,Negra,NO APLICA,SANITAS EPS,3,Credito propio,Finalizado
208,1093171138,Sergio,Torres Sierra,sergio.torres208@uqvirtual.edu.co,3225665239,"Calle 45 # 21 - 32, La Union",2019-2,Inscrito,Hombre,Soltero,Colombiano,Nariño,La Union,Nariño,La Union,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingenieria Civil,7,Armenia,Sin info,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAN CARLOS,Oficial,Mestiza,NO APLICA,EMMSANAR,1,De contado,Abandonado
209,1016974180,Juliana,Jiménez Díaz,juliana.jiménez209@uqvirtual.edu.co,3213138866,"Calle 49 # 8 - 72, La Tebaida",2019-2,Inscrito,Mujer,Soltero,Colombiano,Quindío,La Tebaida,Quindío,La Tebaida,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingeniera Electronica,4,Armenia,Sin info,SANTA TERESITA,Oficial,Blanca,NO APLICA,ASMETSALUD,1,Icetex,Cursando
210,1007113971,Erika,Castro Correa,erika.castro210@uqvirtual.edu.co,3202622976,"Calle 49 # 10 - 9, Genova",2019-2,Inscrito,Mujer,Union Libre,Colombiano,Quindío,Genova,Quindío,Genova,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,5,Armenia,Sin info,INST GÉNOVA,Oficial,Mestiza,NO APLICA,ASMETSALUD,1,Credito propio,Cursando
211,1005888479,Oscar,Aguirre Gutiérrez,oscar.aguirre211@uqvirtual.edu.co,3175072322,"Calle 32 # 22 - 89, Genova",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Genova,Quindío,Genova,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingeniera Electronica,10,Armenia,Sin info,INST GÉNOVA,Oficial,Mestiza,NO APLICA,ASMETSALUD,1,Icetex,Finalizado
212,1007510780,Alejandra,Castrillón Aguirre,alejandra.castrillón212@uqvirtual.edu.co,3216873047,"Calle 34 # 3 - 94, Soacha",2019-2,Inscrito,Mujer,Union Libre,Colombiano,Cundinamarca,Fusagasuga,Cundinamarca,Soacha,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,10,Armenia,Sin info,COL RICAURTE,Privada,Blanca,NO APLICA,SANITAS EPS,3,Icetex,Finalizado
213,1047059775,Elena,Suárez Escobar,elena.suárez213@uqvirtual.edu.co,3225915153,"Calle 4 # 15 - 39, Colon",2019-2,Inscrito,Mujer,Soltero,Colombiano,Nariño,Colon,Nariño,Colon,Pregrado,Presencial,Diurna,Fac. Ciencias Basicas y Tecnologias,Biologia,7,Armenia,Sin info,INSTITUCION EDUCATIVA LEOPOLDO LOPEZ ALVAREZ,Oficial,Mestiza,NO APLICA,EMMSANAR,1,Credito propio,Cursando
214,1002232561,Andrea,Romero Cortés,andrea.romero214@uqvirtual.edu.co,3112096551,"Calle 22 # 23 - 85, Bucaramanga",2019-2,Inscrito,Mujer,Union Libre,Colombiano,Santander,Bucaramanga,Santander,Bucaramanga,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,3,Armenia,Sin info,IE NUESTRA SEÑORA DEL PILAR,Oficial,Blanca,NO APLICA,SANITAS EPS,4,Credito propio,Abandonado
215,1041190472,Beatriz,Álvarez Cano,beatriz.álvarez215@uqvirtual.edu.co,3152088144,"Calle 6 # 10 - 21, Cartago",2019-2,Inscrito,Mujer,Soltero,Colombiano,Valle Del Cauca,Cartago,Valle Del Cauca,Cartago,Pregrado,Presencial,Diurna,Fac. Ciencias Basicas y Tecnologias,Biologia,10,Armenia,Sin info,COL. RAFAEL POMBO,Privada,Blanca,NO APLICA,COOMEVA EPS,4,De contado,Finalizado
216,1054714215,Gabriel,Rojas Orozco,gabriel.rojas216@uqvirtual.edu.co,3101559663,"Calle 47 # 3 - 30, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Diurna,Fac. Ciencias Humanas y Bellas Artes,Trabajo Social,2,Armenia,Sin info,RUFINO JOSE CUERVO CENTRO,Oficial,Negra,NO APLICA,CAFESALUD,2,De contado,Cursando
217,1009520339,Nicolás,Cortés Gallego,nicolás.cortés217@uqvirtual.edu.co,3203261121,"Calle 34 # 19 - 35, Neiva",2019-2,Inscrito,Hombre,Casado,Colombiano,Huila,Palermo,Huila,Neiva,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,10,Armenia,Sin info,IE PROMOCION SOCIAL,Oficial,Mestiza,NO APLICA,CAFESALUD,2,Icetex,Finalizado
218,1067364060,Nicolás,Vélez Quintero,nicolás.vélez218@uqvirtual.edu.co,3184776362,"Calle 46 # 11 - 45, Cordoba",2019-2,Inscrito,Hombre,Casado,Colombiano,Quindío,Cordoba,Quindío,Cordoba,Pregrado,Distancia,Diurna,Fac. Ingenieria,Tec. en Obras Civiles,10,Armenia,Sin info,CIUDELA JOSE MARIA CORDOBA,Oficial,Mestiza,NO APLICA,SURA,2,Icetex,Finalizado
219,1093930573,José,Rodríguez Sierra,josé.rodríguez219@uqvirtual.edu.co,3113198553,"Calle 33 # 26 - 27, La Tebaida",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,La Tebaida,Pregrado,Presencial,Nocturna,Fac. de Educacion,Lic. en Lenguas Modernas con enfasis en Ingles y Frances,10,Armenia,Sin info,MARCELINO CHAMPAGNAT,Oficial,Mestiza,NO APLICA,NUEVA EPS,2,De contado,Finalizado
